"Transition_Karyotypes","n"
"2.2.2.2.2.2.3.2.2.1.2.1.2.1.1.1.2.2.2.2.2.1",773
"2.2.2.2.2.2.3.2.2.1.2.1.2.1.1.2.3.2.2.2.2.1",768
"2.2.2.1.1.2.2.2.2.1.2.1.2.1.1.2.3.2.2.2.2.1",748
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.1.1.3.2.2.2.2.1",748
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.1.2.2.3.2.2.1",738
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.2.1.1",732
"2.2.3.1.1.2.2.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",730
"1.2.3.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.3.2.2.1",689
"2.2.2.1.2.2.3.2.2.1.2.1.1.1.1.2.2.1.2.2.2.1",676
"2.2.2.1.2.1.3.2.2.1.2.1.1.1.1.2.2.2.2.2.2.1",665
"2.2.3.1.2.2.3.2.1.1.2.1.2.1.1.2.2.2.2.2.2.1",658
"2.2.3.1.1.2.2.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",654
"1.2.3.1.2.2.3.2.2.1.2.1.2.1.1.2.1.1.2.2.2.1",642
"2.2.3.2.2.2.2.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",631
"2.2.2.1.2.2.3.2.1.1.2.1.2.1.1.2.3.2.2.2.2.1",626
"2.2.2.1.2.2.3.2.2.1.2.1.1.1.1.2.1.2.2.2.2.2",608
"2.2.3.1.2.1.2.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",608
"2.2.3.1.2.2.2.2.2.1.2.1.2.1.1.2.2.1.2.2.2.1",608
"2.2.3.1.2.2.2.2.2.1.2.1.2.1.1.2.2.2.2.2.2.2",608
"2.2.3.1.2.2.2.2.2.1.2.1.2.1.1.2.2.2.3.2.2.1",608
"2.2.3.1.2.2.2.2.2.1.2.2.2.1.1.2.2.2.2.2.2.1",608
"2.2.3.1.2.2.2.2.2.1.2.1.2.1.1.1.1.2.2.2.2.1",594
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.1.2.1.2.2.2.1",591
"1.2.3.1.1.2.2.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",588
"1.2.2.1.2.2.2.2.2.1.2.1.2.1.1.2.1.2.3.2.2.1",576
"2.2.2.1.2.1.2.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",576
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.1.2.1.1.2.2.2.1",576
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.1.2.1.2.2.2.2.2",576
"2.2.2.1.2.2.2.2.2.1.2.2.2.1.1.2.1.2.2.2.2.1",576
"1.2.3.1.2.2.2.2.2.1.2.1.2.1.1.1.1.2.2.2.2.1",569
"1.2.2.2.2.2.3.2.2.1.2.1.2.1.1.2.1.2.3.2.2.1",552
"1.1.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",546
"1.2.2.1.2.2.3.2.2.1.1.1.2.1.1.2.2.2.2.2.2.1",546
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.2.2.2.2.2.2.2.1",546
"1.2.2.1.2.2.3.2.2.1.3.1.2.1.1.2.2.2.2.2.2.1",546
"1.2.2.1.2.2.3.2.2.2.2.1.2.1.1.2.2.2.2.2.2.1",546
"2.2.2.2.2.2.2.2.2.1.2.1.2.1.1.2.3.2.2.2.2.1",546
"1.2.3.1.2.1.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",544
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.3.2.1",543
"1.2.2.1.2.2.3.2.3.1.2.1.2.1.1.2.2.2.2.2.2.1",539
"2.2.3.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.2.2.3.1",533
"2.2.3.1.2.2.3.1.2.1.2.1.2.1.1.2.2.2.2.2.2.1",532
"2.2.3.1.2.2.3.3.2.1.2.1.2.1.1.2.2.2.2.2.2.1",532
"2.2.3.1.2.2.2.2.2.1.2.1.1.1.1.2.2.2.2.2.2.1",525
"2.2.3.2.2.2.2.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",525
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.3.2.2.2.2.2.1",521
"1.1.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",514
"1.2.2.1.2.2.3.2.2.1.1.1.2.1.1.2.1.2.2.2.2.1",514
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.2.2.1.2.2.2.2.1",514
"1.2.2.1.2.2.3.2.2.1.3.1.2.1.1.2.1.2.2.2.2.1",514
"1.2.2.1.2.2.3.2.2.2.2.1.2.1.1.2.1.2.2.2.2.1",514
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.3.2.1",508
"2.2.3.1.2.2.3.2.2.1.2.1.2.1.1.2.2.2.3.2.2.1",507
"2.2.2.2.2.2.2.2.2.1.2.1.2.1.1.2.2.2.3.2.2.1",505
"2.2.2.1.2.2.3.2.1.1.2.1.1.1.1.2.2.2.2.2.2.1",503
"1.2.3.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.2",502
"1.2.3.1.2.2.3.2.2.1.2.2.2.1.1.2.1.2.2.2.2.1",502
"1.2.2.1.2.2.3.2.3.1.2.1.2.1.1.2.1.2.2.2.2.1",500
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.1.1.2.2.2.2.2",500
"2.2.2.1.2.2.3.2.2.1.2.1.1.1.1.2.2.2.2.2.3.1",490
"2.2.2.1.2.2.3.1.2.1.2.1.1.1.1.2.2.2.2.2.2.1",489
"2.2.2.1.2.2.3.3.2.1.2.1.1.1.1.2.2.2.2.2.2.1",489
"2.2.2.1.2.2.3.2.2.1.2.1.1.2.1.2.2.2.2.2.2.1",479
"2.2.2.1.2.2.3.2.2.1.2.1.1.1.1.2.2.2.2.1.2.1",478
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.3.1.2.2.2.2.1",468
"2.2.2.1.2.2.3.2.2.1.2.1.1.1.1.2.2.2.2.2.2.2",462
"2.2.2.1.2.2.3.2.1.1.2.1.2.1.1.1.2.2.2.2.2.1",460
"2.2.3.1.2.2.3.2.2.1.2.1.2.1.1.2.2.1.2.2.2.1",451
"2.1.2.1.2.2.2.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",448
"2.2.2.1.2.2.2.1.2.1.2.1.2.1.1.2.2.2.2.2.2.1",448
"2.2.2.1.2.2.2.2.1.1.2.1.2.1.1.2.2.2.2.2.2.1",448
"2.2.2.1.2.2.2.2.2.1.1.1.2.1.1.2.2.2.2.2.2.1",448
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.1.2.2.2.2.1.2.1",448
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.1.2.2.2.2.2.3.1",448
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.1.2.2.2.2.3.2.1",448
"2.2.2.1.2.2.2.2.2.1.2.1.2.1.2.2.2.2.2.2.2.1",448
"2.2.2.1.2.2.2.2.2.1.2.1.2.2.1.2.2.2.2.2.2.1",448
"2.2.2.1.2.2.2.2.2.1.3.1.2.1.1.2.2.2.2.2.2.1",448
"2.2.2.1.2.2.2.2.2.2.2.1.2.1.1.2.2.2.2.2.2.1",448
"2.2.2.1.2.2.2.2.3.1.2.1.2.1.1.2.2.2.2.2.2.1",448
"2.2.2.1.2.2.2.3.2.1.2.1.2.1.1.2.2.2.2.2.2.1",448
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.1.2.2.2.2.3.1",447
"2.2.2.1.2.2.3.1.2.1.2.1.2.1.1.1.2.2.2.2.2.1",446
"2.2.2.1.2.2.3.3.2.1.2.1.2.1.1.1.2.2.2.2.2.1",446
"2.2.2.1.2.2.4.2.2.1.2.1.1.1.1.2.2.2.2.2.2.1",446
"2.2.2.1.2.2.3.2.2.1.2.1.2.2.1.1.2.2.2.2.2.1",436
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.1.2.2.2.1.2.1",435
