"Transition_Karyotypes","n"
"2.2.2.1.2.2.4.2.2.1.2.1.2.1.1.2.2.2.2.3.2.1",21
"2.2.2.1.2.2.4.2.2.1.2.1.2.1.1.3.2.2.2.2.2.1",21
"2.2.2.1.2.2.4.2.2.1.2.1.2.1.2.2.2.2.2.2.2.1",21
"2.2.2.1.2.2.4.2.2.1.3.1.2.1.1.2.2.2.2.2.2.1",21
"2.2.2.1.2.2.4.2.2.2.2.1.2.1.1.2.2.2.2.2.2.1",21
"2.2.2.1.2.2.4.2.3.1.2.1.2.1.1.2.2.2.2.2.2.1",21
"2.2.2.2.2.2.2.1.2.1.2.1.2.1.1.2.2.2.2.2.2.1",21
"2.2.2.2.2.2.2.2.1.1.2.1.2.1.1.2.2.2.2.2.2.1",21
"2.2.2.2.2.2.2.2.2.1.1.1.2.1.1.2.2.2.2.2.2.1",21
"2.2.2.2.2.2.2.2.2.1.2.1.2.1.1.2.2.2.2.1.2.1",21
"2.2.2.2.2.2.2.2.2.1.2.1.2.1.1.2.2.2.2.2.3.1",21
"2.2.2.2.2.2.2.2.2.1.2.1.2.1.1.2.2.2.2.3.2.1",21
"2.2.2.2.2.2.2.2.2.1.2.1.2.1.1.3.2.2.2.2.2.1",21
"2.2.2.2.2.2.2.2.2.1.2.1.2.1.2.2.2.2.2.2.2.1",21
"2.2.2.2.2.2.2.2.2.1.2.1.2.2.1.2.2.2.2.2.2.1",21
"2.2.2.2.2.2.2.2.2.1.3.1.2.1.1.2.2.2.2.2.2.1",21
"2.2.2.2.2.2.2.2.2.2.2.1.2.1.1.2.2.2.2.2.2.1",21
"2.2.2.2.2.2.2.2.3.1.2.1.2.1.1.2.2.2.2.2.2.1",21
"2.2.2.2.2.2.2.3.2.1.2.1.2.1.1.2.2.2.2.2.2.1",21
"1.1.2.1.2.2.3.1.2.1.2.1.2.1.1.2.1.2.2.2.2.1",20
"1.1.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.3.1",20
"1.1.2.1.2.2.3.3.2.1.2.1.2.1.1.2.1.2.2.2.2.1",20
"1.1.2.2.2.2.2.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",20
"1.2.2.1.2.2.3.1.2.1.1.1.2.1.1.2.1.2.2.2.2.1",20
"1.2.2.1.2.2.3.1.2.1.2.1.2.1.1.2.1.2.2.3.2.1",20
"1.2.2.1.2.2.3.1.2.1.2.1.2.1.1.3.1.2.2.2.2.1",20
"1.2.2.1.2.2.3.1.2.1.2.1.2.1.2.2.1.2.2.2.2.1",20
"1.2.2.1.2.2.3.1.2.1.3.1.2.1.1.2.1.2.2.2.2.1",20
"1.2.2.1.2.2.3.1.2.2.2.1.2.1.1.2.1.2.2.2.2.1",20
"1.2.2.1.2.2.3.1.3.1.2.1.2.1.1.2.1.2.2.2.2.1",20
"1.2.2.1.2.2.3.2.2.1.1.1.2.1.1.2.1.2.2.2.3.1",20
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.3.3.1",20
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.3.1.2.2.2.3.1",20
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.2.2.1.2.2.2.3.1",20
"1.2.2.1.2.2.3.2.2.1.3.1.2.1.1.2.1.2.2.2.3.1",20
"1.2.2.1.2.2.3.2.2.2.2.1.2.1.1.2.1.2.2.2.3.1",20
"1.2.2.1.2.2.3.2.3.1.2.1.2.1.1.2.1.2.2.2.3.1",20
"1.2.2.1.2.2.3.3.2.1.1.1.2.1.1.2.1.2.2.2.2.1",20
"1.2.2.1.2.2.3.3.2.1.2.1.2.1.1.2.1.2.2.3.2.1",20
"1.2.2.1.2.2.3.3.2.1.2.1.2.1.1.3.1.2.2.2.2.1",20
"1.2.2.1.2.2.3.3.2.1.2.1.2.1.2.2.1.2.2.2.2.1",20
"1.2.2.1.2.2.3.3.2.1.3.1.2.1.1.2.1.2.2.2.2.1",20
"1.2.2.1.2.2.3.3.2.2.2.1.2.1.1.2.1.2.2.2.2.1",20
"1.2.2.1.2.2.3.3.3.1.2.1.2.1.1.2.1.2.2.2.2.1",20
"1.2.2.2.2.2.2.1.2.1.2.1.2.1.1.2.1.2.2.2.2.1",20
"1.2.2.2.2.2.2.2.1.1.2.1.2.1.1.2.1.2.2.2.2.1",20
"1.2.2.2.2.2.2.2.2.1.1.1.2.1.1.2.1.2.2.2.2.1",20
"1.2.2.2.2.2.2.2.2.1.2.1.2.1.1.2.1.2.2.1.2.1",20
"1.2.2.2.2.2.2.2.2.1.2.1.2.1.1.2.1.2.2.2.3.1",20
"1.2.2.2.2.2.2.2.2.1.2.1.2.1.1.2.1.2.2.3.2.1",20
"1.2.2.2.2.2.2.2.2.1.2.1.2.1.1.3.1.2.2.2.2.1",20
"1.2.2.2.2.2.2.2.2.1.2.1.2.1.2.2.1.2.2.2.2.1",20
"1.2.2.2.2.2.2.2.2.1.2.1.2.2.1.2.1.2.2.2.2.1",20
"1.2.2.2.2.2.2.2.2.1.3.1.2.1.1.2.1.2.2.2.2.1",20
"1.2.2.2.2.2.2.2.2.2.2.1.2.1.1.2.1.2.2.2.2.1",20
"1.2.2.2.2.2.2.2.3.1.2.1.2.1.1.2.1.2.2.2.2.1",20
"1.2.2.2.2.2.2.3.2.1.2.1.2.1.1.2.1.2.2.2.2.1",20
"2.2.3.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.1.2.2",19
"2.2.3.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.1.2",19
"2.2.3.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.3.2.2.2",19
"2.2.3.1.2.2.3.2.2.1.2.1.2.2.1.2.1.2.2.2.2.2",19
"2.2.3.1.2.2.4.2.2.1.2.1.2.1.1.2.1.2.2.2.2.2",19
"2.1.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.1.2.1",18
"2.1.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.1.1",18
"2.1.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.3.2.2.1",18
"2.1.2.1.2.2.3.2.2.1.2.1.2.2.1.2.1.2.2.2.2.1",18
"2.1.2.1.2.2.4.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",18
"2.2.2.1.2.2.3.1.2.1.2.1.2.1.1.2.1.2.2.2.1.1",18
"2.2.2.1.2.2.3.2.1.1.2.1.2.1.1.2.1.2.2.2.1.1",18
"2.2.2.1.2.2.3.2.2.1.1.1.2.1.1.2.1.2.2.1.2.1",18
"2.2.2.1.2.2.3.2.2.1.1.1.2.1.1.2.1.2.2.2.1.1",18
"2.2.2.1.2.2.3.2.2.1.1.1.2.1.1.2.1.2.3.2.2.1",18
"2.2.2.1.2.2.3.2.2.1.1.1.2.2.1.2.1.2.2.2.2.1",18
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.1.1.1",18
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.3.1.1",18
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.3.3.2.1",18
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.3.1.2.2.1.2.1",18
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.3.1.2.2.2.1.1",18
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.3.1.2.3.2.2.1",18
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.2.2.1.2.2.1.2.1",18
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.2.2.1.2.2.2.1.1",18
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.2.2.1.2.3.2.2.1",18
"2.2.2.1.2.2.3.2.2.1.2.1.2.2.1.2.1.2.2.2.1.1",18
"2.2.2.1.2.2.3.2.2.1.2.1.2.2.1.2.1.2.2.3.2.1",18
"2.2.2.1.2.2.3.2.2.1.2.1.2.2.1.3.1.2.2.2.2.1",18
"2.2.2.1.2.2.3.2.2.1.2.1.2.2.2.2.1.2.2.2.2.1",18
"2.2.2.1.2.2.3.2.2.1.3.1.2.1.1.2.1.2.2.1.2.1",18
"2.2.2.1.2.2.3.2.2.1.3.1.2.1.1.2.1.2.2.2.1.1",18
"2.2.2.1.2.2.3.2.2.1.3.1.2.1.1.2.1.2.3.2.2.1",18
"2.2.2.1.2.2.3.2.2.1.3.1.2.2.1.2.1.2.2.2.2.1",18
"2.2.2.1.2.2.3.2.2.2.2.1.2.1.1.2.1.2.2.1.2.1",18
"2.2.2.1.2.2.3.2.2.2.2.1.2.1.1.2.1.2.2.2.1.1",18
"2.2.2.1.2.2.3.2.2.2.2.1.2.1.1.2.1.2.3.2.2.1",18
"2.2.2.1.2.2.3.2.2.2.2.1.2.2.1.2.1.2.2.2.2.1",18
"2.2.2.1.2.2.3.2.3.1.2.1.2.1.1.2.1.2.2.1.2.1",18
"2.2.2.1.2.2.3.2.3.1.2.1.2.1.1.2.1.2.2.2.1.1",18
"2.2.2.1.2.2.3.2.3.1.2.1.2.1.1.2.1.2.3.2.2.1",18
"2.2.2.1.2.2.3.2.3.1.2.1.2.2.1.2.1.2.2.2.2.1",18
"2.2.2.1.2.2.3.3.2.1.2.1.2.1.1.2.1.2.2.2.1.1",18
"2.2.2.1.2.2.4.2.2.1.1.1.2.1.1.2.1.2.2.2.2.1",18
"2.2.2.1.2.2.4.2.2.1.2.1.2.1.1.2.1.2.2.2.1.1",18
"2.2.2.1.2.2.4.2.2.1.2.1.2.1.1.2.1.2.2.3.2.1",18
"2.2.2.1.2.2.4.2.2.1.2.1.2.1.1.3.1.2.2.2.2.1",18
"2.2.2.1.2.2.4.2.2.1.2.1.2.1.2.2.1.2.2.2.2.1",18
"2.2.2.1.2.2.4.2.2.1.3.1.2.1.1.2.1.2.2.2.2.1",18
"2.2.2.1.2.2.4.2.2.2.2.1.2.1.1.2.1.2.2.2.2.1",18
"2.2.2.1.2.2.4.2.3.1.2.1.2.1.1.2.1.2.2.2.2.1",18
"1.1.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.1.2.2.2.1",16
"1.2.2.1.2.1.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.2",16
"1.2.2.1.2.2.3.2.2.1.1.1.2.1.1.2.1.1.2.2.2.1",16
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.1.2.3.2.1",16
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.3.1.1.2.2.2.1",16
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.2.2.1.1.2.2.2.1",16
"1.2.2.1.2.2.3.2.2.1.3.1.2.1.1.2.1.1.2.2.2.1",16
"1.2.2.1.2.2.3.2.2.2.2.1.2.1.1.2.1.1.2.2.2.1",16
"1.2.2.1.2.2.3.2.3.1.2.1.2.1.1.2.1.1.2.2.2.1",16
"1.2.2.1.2.1.3.2.2.1.2.2.2.1.1.2.1.2.2.2.2.1",15
"2.1.2.1.2.1.3.2.2.1.2.1.2.1.1.2.2.2.2.2.2.1",14
"2.2.2.1.2.1.3.2.2.1.1.1.2.1.1.2.2.2.2.2.2.1",14
"2.2.2.1.2.1.3.2.2.1.2.1.2.1.1.2.2.2.2.3.2.1",14
"2.2.2.1.2.1.3.2.2.1.2.1.2.1.1.3.2.2.2.2.2.1",14
"2.2.2.1.2.1.3.2.2.1.2.1.2.1.2.2.2.2.2.2.2.1",14
"2.2.2.1.2.1.3.2.2.1.3.1.2.1.1.2.2.2.2.2.2.1",14
"2.2.2.1.2.1.3.2.2.2.2.1.2.1.1.2.2.2.2.2.2.1",14
"2.2.2.1.2.1.3.2.3.1.2.1.2.1.1.2.2.2.2.2.2.1",14
"1.1.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.1.2.1",12
"1.1.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.2.1.1",12
"1.1.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.3.2.2.1",12
"1.1.2.1.2.2.3.2.2.1.2.1.2.2.1.2.1.2.2.2.2.1",12
"1.1.2.1.2.2.4.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",12
"1.2.2.1.2.2.3.1.2.1.2.1.2.1.1.2.1.2.2.2.1.1",12
"1.2.2.1.2.2.3.2.1.1.2.1.2.1.1.2.1.2.2.2.1.1",12
"1.2.2.1.2.2.3.2.2.1.1.1.2.1.1.2.1.2.2.1.2.1",12
"1.2.2.1.2.2.3.2.2.1.1.1.2.1.1.2.1.2.2.2.1.1",12
"1.2.2.1.2.2.3.2.2.1.1.1.2.1.1.2.1.2.3.2.2.1",12
"1.2.2.1.2.2.3.2.2.1.1.1.2.2.1.2.1.2.2.2.2.1",12
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.1.1.1",12
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.2.3.1.1",12
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.2.1.2.3.3.2.1",12
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.3.1.2.2.1.2.1",12
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.3.1.2.2.2.1.1",12
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.3.1.2.3.2.2.1",12
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.2.2.1.2.2.1.2.1",12
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.2.2.1.2.2.2.1.1",12
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.2.2.1.2.3.2.2.1",12
"1.2.2.1.2.2.3.2.2.1.2.1.2.2.1.2.1.2.2.2.1.1",12
"1.2.2.1.2.2.3.2.2.1.2.1.2.2.1.2.1.2.2.3.2.1",12
"1.2.2.1.2.2.3.2.2.1.2.1.2.2.1.3.1.2.2.2.2.1",12
"1.2.2.1.2.2.3.2.2.1.2.1.2.2.2.2.1.2.2.2.2.1",12
"1.2.2.1.2.2.3.2.2.1.3.1.2.1.1.2.1.2.2.1.2.1",12
"1.2.2.1.2.2.3.2.2.1.3.1.2.1.1.2.1.2.2.2.1.1",12
"1.2.2.1.2.2.3.2.2.1.3.1.2.1.1.2.1.2.3.2.2.1",12
"1.2.2.1.2.2.3.2.2.1.3.1.2.2.1.2.1.2.2.2.2.1",12
"1.2.2.1.2.2.3.2.2.2.2.1.2.1.1.2.1.2.2.1.2.1",12
"1.2.2.1.2.2.3.2.2.2.2.1.2.1.1.2.1.2.2.2.1.1",12
"1.2.2.1.2.2.3.2.2.2.2.1.2.1.1.2.1.2.3.2.2.1",12
"1.2.2.1.2.2.3.2.2.2.2.1.2.2.1.2.1.2.2.2.2.1",12
"1.2.2.1.2.2.3.2.3.1.2.1.2.1.1.2.1.2.2.1.2.1",12
"1.2.2.1.2.2.3.2.3.1.2.1.2.1.1.2.1.2.2.2.1.1",12
"1.2.2.1.2.2.3.2.3.1.2.1.2.1.1.2.1.2.3.2.2.1",12
"1.2.2.1.2.2.3.2.3.1.2.1.2.2.1.2.1.2.2.2.2.1",12
"1.2.2.1.2.2.3.3.2.1.2.1.2.1.1.2.1.2.2.2.1.1",12
"1.2.2.1.2.2.4.2.2.1.1.1.2.1.1.2.1.2.2.2.2.1",12
"1.2.2.1.2.2.4.2.2.1.2.1.2.1.1.2.1.2.2.2.1.1",12
"1.2.2.1.2.2.4.2.2.1.2.1.2.1.1.2.1.2.2.3.2.1",12
"1.2.2.1.2.2.4.2.2.1.2.1.2.1.1.3.1.2.2.2.2.1",12
"1.2.2.1.2.2.4.2.2.1.2.1.2.1.2.2.1.2.2.2.2.1",12
"1.2.2.1.2.2.4.2.2.1.3.1.2.1.1.2.1.2.2.2.2.1",12
"1.2.2.1.2.2.4.2.2.2.2.1.2.1.1.2.1.2.2.2.2.1",12
"1.2.2.1.2.2.4.2.3.1.2.1.2.1.1.2.1.2.2.2.2.1",12
"2.1.2.1.2.1.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",12
"2.2.2.1.2.1.3.2.2.1.1.1.2.1.1.2.1.2.2.2.2.1",12
"2.2.2.1.2.1.3.2.2.1.2.1.1.1.1.2.1.2.2.2.2.2",12
"2.2.2.1.2.1.3.2.2.1.2.1.2.1.1.2.1.2.2.3.2.1",12
"2.2.2.1.2.1.3.2.2.1.2.1.2.1.1.3.1.2.2.2.2.1",12
"2.2.2.1.2.1.3.2.2.1.2.1.2.1.2.2.1.2.2.2.2.1",12
"2.2.2.1.2.1.3.2.2.1.3.1.2.1.1.2.1.2.2.2.2.1",12
"2.2.2.1.2.1.3.2.2.2.2.1.2.1.1.2.1.2.2.2.2.1",12
"2.2.2.1.2.1.3.2.3.1.2.1.2.1.1.2.1.2.2.2.2.1",12
"2.2.2.1.2.2.3.1.1.1.2.1.2.1.1.2.1.2.2.2.2.2",12
"2.2.2.1.2.2.3.1.2.1.2.1.1.1.1.2.1.2.2.2.2.2",12
"2.2.2.1.2.2.3.1.2.1.2.1.2.1.1.1.1.2.2.2.2.2",12
"2.2.2.1.2.2.3.2.1.1.2.1.1.1.1.2.1.2.2.2.2.2",12
"2.2.2.1.2.2.3.2.1.1.2.1.2.1.1.1.1.2.2.2.2.2",12
"2.2.2.1.2.2.3.2.1.1.2.1.2.1.1.2.1.2.2.2.3.2",12
"2.2.2.1.2.2.3.2.2.1.2.1.1.1.1.2.1.1.2.2.2.2",12
"2.2.2.1.2.2.3.2.2.1.2.1.1.1.1.2.1.2.2.1.2.2",12
"2.2.2.1.2.2.3.2.2.1.2.1.1.1.1.2.1.2.2.2.1.2",12
"2.2.2.1.2.2.3.2.2.1.2.1.1.1.1.2.1.2.2.2.3.2",12
"2.2.2.1.2.2.3.2.2.1.2.1.1.1.1.2.1.2.3.2.2.2",12
"2.2.2.1.2.2.3.2.2.1.2.1.1.2.1.2.1.2.2.2.2.2",12
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.1.1.1.2.2.2.2",12
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.1.1.2.2.1.2.2",12
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.1.1.2.2.2.1.2",12
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.1.1.2.2.2.3.2",12
"2.2.2.1.2.2.3.2.2.1.2.1.2.1.1.1.1.2.3.2.2.2",12
"2.2.2.1.2.2.3.2.2.1.2.1.2.2.1.1.1.2.2.2.2.2",12
"2.2.2.1.2.2.3.3.1.1.2.1.2.1.1.2.1.2.2.2.2.2",12
"2.2.2.1.2.2.3.3.2.1.2.1.1.1.1.2.1.2.2.2.2.2",12
"2.2.2.1.2.2.3.3.2.1.2.1.2.1.1.1.1.2.2.2.2.2",12
"2.2.2.1.2.2.4.2.2.1.2.1.1.1.1.2.1.2.2.2.2.2",12
"2.2.2.1.2.2.4.2.2.1.2.1.2.1.1.1.1.2.2.2.2.2",12
"2.2.2.2.2.2.3.2.2.1.2.1.2.1.1.1.1.2.2.2.2.2",12
"2.2.3.1.2.1.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.2",12
"1.1.2.1.2.1.3.2.2.1.2.1.2.1.1.2.1.2.2.2.2.1",8
"1.2.2.1.2.1.3.2.2.1.1.1.2.1.1.2.1.2.2.2.2.1",8
"1.2.2.1.2.1.3.2.2.1.2.1.2.1.1.2.1.2.2.3.2.1",8
"1.2.2.1.2.1.3.2.2.1.2.1.2.1.1.3.1.2.2.2.2.1",8
"1.2.2.1.2.1.3.2.2.1.2.1.2.1.2.2.1.2.2.2.2.1",8
"1.2.2.1.2.1.3.2.2.1.3.1.2.1.1.2.1.2.2.2.2.1",8
"1.2.2.1.2.1.3.2.2.2.2.1.2.1.1.2.1.2.2.2.2.1",8
"1.2.2.1.2.1.3.2.3.1.2.1.2.1.1.2.1.2.2.2.2.1",8
"1.2.2.1.2.2.3.2.2.1.2.1.1.1.1.2.1.2.2.2.1.1",8
"1.2.2.1.2.2.3.2.2.1.2.1.2.1.1.1.1.2.2.2.1.1",8
